"species","year","country","mean"
"Aeshna_affinis",2016,"Netherlands",0.03455
"Aeshna_affinis",2016,"Norway",0.00019
"Aeshna_affinis",2016,"Portugal",0.08326
"Aeshna_affinis",2016,"Slovenia",0.272
"Aeshna_affinis",2016,"Spain",0.07394
"Aeshna_affinis",2016,"Sweden",0.00153
"Aeshna_affinis",2016,"Switzerland",0.0655
"Aeshna_affinis",2016,"United Kingdom",0.00798
"Aeshna_affinis",2016,"All",0.07721
"Aeshna_affinis",2017,"Austria",0.04674
"Aeshna_affinis",2017,"Belgium",0.05203
"Aeshna_affinis",2017,"Cyprus",0.00184
"Aeshna_affinis",2017,"Czechia",0.15618
"Aeshna_affinis",2017,"Denmark",0.01072
"Aeshna_affinis",2017,"Finland",0.00034
"Aeshna_affinis",2017,"France",0.19461
"Aeshna_affinis",2017,"Ireland",0.00054
"Aeshna_affinis",2017,"Isle of Man",4e-05
"Aeshna_affinis",2017,"Italy",0.12057
"Aeshna_affinis",2017,"Luxembourg",0.02284
"Aeshna_affinis",2017,"Netherlands",0.03414
"Aeshna_affinis",2017,"Norway",0.00016
"Aeshna_affinis",2017,"Portugal",0.07504
"Aeshna_affinis",2017,"Slovenia",0.25682
"Aeshna_affinis",2017,"Spain",0.06588
"Aeshna_affinis",2017,"Sweden",0.00142
"Aeshna_affinis",2017,"Switzerland",0.06004
"Aeshna_affinis",2017,"United Kingdom",0.00819
"Aeshna_affinis",2017,"All",0.07024
"Aeshna_affinis",2018,"Austria",0.09324
"Aeshna_affinis",2018,"Belgium",0.13344
"Aeshna_affinis",2018,"Cyprus",0.00518
"Aeshna_affinis",2018,"Czechia",0.27
"Aeshna_affinis",2018,"Denmark",0.02711
"Aeshna_affinis",2018,"Finland",0.00098
"Aeshna_affinis",2018,"France",0.31952
"Aeshna_affinis",2018,"Ireland",0.00127
"Aeshna_affinis",2018,"Isle of Man",0.00012
"Aeshna_affinis",2018,"Italy",0.22472
"Aeshna_affinis",2018,"Luxembourg",0.05878
"Aeshna_affinis",2018,"Netherlands",0.09044
"Aeshna_affinis",2018,"Norway",0.00046
"Aeshna_affinis",2018,"Portugal",0.14788
"Aeshna_affinis",2018,"Slovenia",0.40531
"Aeshna_affinis",2018,"Spain",0.13937
"Aeshna_affinis",2018,"Sweden",0.00378
"Aeshna_affinis",2018,"Switzerland",0.11305
"Aeshna_affinis",2018,"United Kingdom",0.01868
"Aeshna_affinis",2018,"All",0.12639
"Aeshna_affinis",2019,"Austria",0.10445
"Aeshna_affinis",2019,"Belgium",0.16458
"Aeshna_affinis",2019,"Cyprus",0.0061
"Aeshna_affinis",2019,"Czechia",0.29514
"Aeshna_affinis",2019,"Denmark",0.03211
"Aeshna_affinis",2019,"Finland",0.00119
"Aeshna_affinis",2019,"France",0.34273
"Aeshna_affinis",2019,"Ireland",0.00145
"Aeshna_affinis",2019,"Isle of Man",0.00014
"Aeshna_affinis",2019,"Italy",0.24647
"Aeshna_affinis",2019,"Luxembourg",0.06766
"Aeshna_affinis",2019,"Netherlands",0.11407
"Aeshna_affinis",2019,"Norway",0.00056
"Aeshna_affinis",2019,"Portugal",0.16573
"Aeshna_affinis",2019,"Slovenia",0.43669
"Aeshna_affinis",2019,"Spain",0.15687
"Aeshna_affinis",2019,"Sweden",0.00467
"Aeshna_affinis",2019,"Switzerland",0.12602
"Aeshna_affinis",2019,"United Kingdom",0.02345
"Aeshna_affinis",2019,"All",0.13871
"Aeshna_affinis",2020,"Austria",0.11073
"Aeshna_affinis",2020,"Belgium",0.18885
"Aeshna_affinis",2020,"Cyprus",0.00667
"Aeshna_affinis",2020,"Czechia",0.3095
"Aeshna_affinis",2020,"Denmark",0.03529
"Aeshna_affinis",2020,"Finland",0.00131
"Aeshna_affinis",2020,"France",0.35393
"Aeshna_affinis",2020,"Ireland",0.00157
"Aeshna_affinis",2020,"Isle of Man",0.00016
"Aeshna_affinis",2020,"Italy",0.25772
"Aeshna_affinis",2020,"Luxembourg",0.07217
"Aeshna_affinis",2020,"Netherlands",0.13351
"Aeshna_affinis",2020,"Norway",0.00061
"Aeshna_affinis",2020,"Portugal",0.17523
"Aeshna_affinis",2020,"Slovenia",0.45542
"Aeshna_affinis",2020,"Spain",0.16657
"Aeshna_affinis",2020,"Sweden",0.00535
"Aeshna_affinis",2020,"Switzerland",0.13418
"Aeshna_affinis",2020,"United Kingdom",0.02754
"Aeshna_affinis",2020,"All",0.14548
"Aeshna_affinis",2021,"Austria",0.08615
"Aeshna_affinis",2021,"Belgium",0.15436
"Aeshna_affinis",2021,"Cyprus",0.00428
"Aeshna_affinis",2021,"Czechia",0.25789
"Aeshna_affinis",2021,"Denmark",0.02596
"Aeshna_affinis",2021,"Finland",0.00086
"Aeshna_affinis",2021,"France",0.29388
"Aeshna_affinis",2021,"Ireland",0.00113
"Aeshna_affinis",2021,"Isle of Man",0.00011
"Aeshna_affinis",2021,"Italy",0.20303
"Aeshna_affinis",2021,"Luxembourg",0.04895
"Aeshna_affinis",2021,"Netherlands",0.11023
"Aeshna_affinis",2021,"Norway",4e-04
"Aeshna_affinis",2021,"Portugal",0.13246
"Aeshna_affinis",2021,"Slovenia",0.39939
"Aeshna_affinis",2021,"Spain",0.12635
"Aeshna_affinis",2021,"Sweden",0.00405
"Aeshna_affinis",2021,"Switzerland",0.10926
"Aeshna_affinis",2021,"United Kingdom",0.02395
"Aeshna_affinis",2021,"All",0.11728
"Aeshna_affinis",2022,"Austria",0.05881
"Aeshna_affinis",2022,"Belgium",0.10951
"Aeshna_affinis",2022,"Cyprus",0.00229
"Aeshna_affinis",2022,"Czechia",0.19208
"Aeshna_affinis",2022,"Denmark",0.01655
"Aeshna_affinis",2022,"Finland",0.00047
"Aeshna_affinis",2022,"France",0.21823
"Aeshna_affinis",2022,"Ireland",0.00069
"Aeshna_affinis",2022,"Isle of Man",6e-05
"Aeshna_affinis",2022,"Italy",0.13947
"Aeshna_affinis",2022,"Luxembourg",0.02748
"Aeshna_affinis",2022,"Netherlands",0.07966
"Aeshna_affinis",2022,"Norway",0.00021
"Aeshna_affinis",2022,"Portugal",0.08854
"Aeshna_affinis",2022,"Slovenia",0.31739
"Aeshna_affinis",2022,"Spain",0.08194
"Aeshna_affinis",2022,"Sweden",0.00267
"Aeshna_affinis",2022,"Switzerland",0.07783
"Aeshna_affinis",2022,"United Kingdom",0.01884
"Aeshna_affinis",2022,"All",0.08361
"Aeshna_affinis",2023,"Austria",0.07975
"Aeshna_affinis",2023,"Belgium",0.16481
"Aeshna_affinis",2023,"Cyprus",0.00361
"Aeshna_affinis",2023,"Czechia",0.24521
"Aeshna_affinis",2023,"Denmark",0.02447
"Aeshna_affinis",2023,"Finland",0.00075
"Aeshna_affinis",2023,"France",0.27277
"Aeshna_affinis",2023,"Ireland",0.00101
"Aeshna_affinis",2023,"Isle of Man",9e-05
"Aeshna_affinis",2023,"Italy",0.1848
"Aeshna_affinis",2023,"Luxembourg",0.04251
"Aeshna_affinis",2023,"Netherlands",0.1215
"Aeshna_affinis",2023,"Norway",0.00034
"Aeshna_affinis",2023,"Portugal",0.1194
"Aeshna_affinis",2023,"Slovenia",0.38967
"Aeshna_affinis",2023,"Spain",0.11468
"Aeshna_affinis",2023,"Sweden",0.00418
"Aeshna_affinis",2023,"Switzerland",0.10455
"Aeshna_affinis",2023,"United Kingdom",0.0273
"Aeshna_affinis",2023,"All",0.1092
"Aeshna_affinis",2024,"Austria",0.09867
"Aeshna_affinis",2024,"Belgium",0.21676
"Aeshna_affinis",2024,"Cyprus",0.00496
"Aeshna_affinis",2024,"Czechia",0.28871
"Aeshna_affinis",2024,"Denmark",0.03217
"Aeshna_affinis",2024,"Finland",0.00107
"Aeshna_affinis",2024,"France",0.31628
"Aeshna_affinis",2024,"Ireland",0.00132
"Aeshna_affinis",2024,"Isle of Man",0.00013
"Aeshna_affinis",2024,"Italy",0.22372
"Aeshna_affinis",2024,"Luxembourg",0.05843
"Aeshna_affinis",2024,"Netherlands",0.16286
"Aeshna_affinis",2024,"Norway",0.00048
"Aeshna_affinis",2024,"Portugal",0.14821
"Aeshna_affinis",2024,"Slovenia",0.44389
"Aeshna_affinis",2024,"Spain",0.14458
"Aeshna_affinis",2024,"Sweden",0.00579
"Aeshna_affinis",2024,"Switzerland",0.12811
"Aeshna_affinis",2024,"United Kingdom",0.03549
"Aeshna_affinis",2024,"All",0.13111
"Aeshna_caerulea",2000,"Austria",0.12088
"Aeshna_caerulea",2000,"Belgium",0
"Aeshna_caerulea",2000,"Cyprus",0
"Aeshna_caerulea",2000,"Czechia",0.00452
"Aeshna_caerulea",2000,"Denmark",0
"Aeshna_caerulea",2000,"Finland",0.26166
"Aeshna_caerulea",2000,"France",0.00033
"Aeshna_caerulea",2000,"Ireland",0.00011
"Aeshna_caerulea",2000,"Isle of Man",0
"Aeshna_caerulea",2000,"Italy",0.01035
"Aeshna_caerulea",2000,"Luxembourg",0
"Aeshna_caerulea",2000,"Netherlands",0
"Aeshna_caerulea",2000,"Norway",0.5101
"Aeshna_caerulea",2000,"Portugal",0
"Aeshna_caerulea",2000,"Slovenia",9e-05
"Aeshna_caerulea",2000,"Spain",1e-05
"Aeshna_caerulea",2000,"Sweden",0.32357
"Aeshna_caerulea",2000,"Switzerland",0.13389
"Aeshna_caerulea",2000,"United Kingdom",0.02273
"Aeshna_caerulea",2000,"All",0.11731
"Aeshna_caerulea",2001,"Austria",0.09256
